City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Nanortalik,GL,2022-01-24 03:13:37,60.1432,-45.2371,25.75,77,100,10.2
197,Apateu,RO,2022-01-24 03:13:38,46.6167,21.7833,21.61,84,3,5.46
198,Betong,TH,2022-01-24 03:13:38,5.7743,101.0723,79.36,84,99,0.63
199,Monrovia,LR,2022-01-24 03:13:39,6.3005,-10.7969,76.46,85,8,2.55
200,Quelimane,MZ,2022-01-24 03:13:39,-17.8786,36.8883,77.83,95,100,12.39
201,Ponta Do Sol,PT,2022-01-24 03:13:40,32.6667,-17.1,64.71,79,80,5.95
202,Anadyr,RU,2022-01-24 03:13:40,64.75,177.4833,-23.01,74,0,8.95
203,Ambon,ID,2022-01-24 03:13:41,-3.6954,128.1814,89.74,66,20,5.75
204,Codrington,AU,2022-01-24 03:13:41,-38.2667,141.9667,92.52,23,100,4.94
205,Damaturu,NG,2022-01-24 03:13:42,11.747,11.9608,59.88,22,0,8.95
206,Pudozh,RU,2022-01-24 03:13:42,61.8099,36.5345,19.53,94,100,10.27
207,Aguimes,ES,2022-01-24 03:13:42,27.9054,-15.4461,59.67,70,0,3.44
208,Korla,CN,2022-01-24 03:13:43,41.7597,86.1469,26.44,52,100,1.03
209,Yima,CN,2022-01-24 03:13:43,34.7381,111.8839,31.59,84,86,2.13
210,Sept-Iles,CA,2022-01-24 03:13:44,50.2001,-66.3821,5.43,88,75,1.01
211,Kruisfontein,ZA,2022-01-24 03:13:44,-34.0033,24.7314,70.27,43,0,10.89
212,Sopotnica,MK,2022-01-24 03:13:45,41.2947,21.155,13.77,93,36,3.56
213,Saint-Pierre,RE,2022-01-24 03:13:45,-21.3393,55.4781,80.24,89,100,13.8
214,Meulaboh,ID,2022-01-24 03:13:45,4.1363,96.1285,81.45,74,46,1.92
215,Tiarei,PF,2022-01-24 03:13:46,-17.5333,-149.3333,84.22,77,95,11.34
216,Dongsheng,CN,2022-01-24 03:13:46,39.8161,109.9776,26.29,46,42,11.34
217,Zaragoza,ES,2022-01-24 03:13:47,41.6561,-0.8773,35.85,79,0,4.61
218,Ndele,CF,2022-01-24 03:13:48,8.4109,20.6473,68.95,26,95,4.83
219,Fortuna,US,2022-01-24 03:13:48,40.5982,-124.1573,50.09,79,0,2.48
220,Brae,GB,2022-01-24 03:13:48,60.3964,-1.353,48.11,94,100,18.14
221,Tiksi,RU,2022-01-24 03:13:49,71.6872,128.8694,-8.21,100,99,2.44
222,Poum,NC,2022-01-24 03:13:49,-20.2333,164.0167,80.38,69,100,12.19
223,Sisophon,KH,2022-01-24 03:13:50,13.5859,102.9737,84.72,48,0,5.88
224,Tual,ID,2022-01-24 03:13:50,-5.6667,132.75,83.34,79,98,12.53
225,Bocana De Paiwas,NI,2022-01-24 03:13:51,12.7857,-85.1227,69.73,91,19,7.36
226,Gondanglegi,ID,2022-01-24 03:13:51,-7.7479,112.0132,85.71,65,61,1.63
227,Bathsheba,BB,2022-01-24 03:13:51,13.2167,-59.5167,77.61,73,40,17.27
228,Chicama,PE,2022-01-24 03:13:52,-7.8447,-79.1469,66.74,78,9,7.23
229,Barcelos,PT,2022-01-24 03:13:52,41.5388,-8.6151,38.84,73,0,4.34
230,Dauriya,RU,2022-01-24 03:14:53,49.9333,116.8667,2.5,93,100,2.01
231,Hobyo,SO,2022-01-24 03:14:53,5.3505,48.5268,76.06,71,99,15.7
232,Garden City,US,2022-01-24 03:12:23,42.3256,-83.331,20.95,74,75,3.44
233,Sedhiou,SN,2022-01-24 03:14:54,12.7081,-15.5569,70.45,38,69,2.51
234,Leningradskiy,RU,2022-01-24 03:14:54,69.3833,178.4167,-12.87,98,100,4.63
235,Kalmunai,LK,2022-01-24 03:14:55,7.4167,81.8167,74.75,74,69,2.73
236,Astoria,US,2022-01-24 03:14:55,46.1879,-123.8313,45.86,84,0,3.0
237,San Patricio,US,2022-01-24 03:14:56,28.017,-97.5169,55.81,48,100,3.4
238,Elko,US,2022-01-24 03:14:56,41.0002,-115.5012,28.06,91,5,1.36
239,Muroto,JP,2022-01-24 03:14:57,33.2833,134.15,51.24,70,100,15.32
240,San Carlos De Bariloche,AR,2022-01-24 03:14:57,-41.1456,-71.3082,53.35,66,75,24.16
241,Tinley Park,US,2022-01-24 03:10:57,41.5734,-87.7845,11.88,84,33,3.0
242,Ucluelet,CA,2022-01-24 03:14:58,48.9329,-125.5528,41.09,92,100,0.54
243,Visnes,NO,2022-01-24 03:14:58,59.3556,5.2242,45.57,87,75,11.5
244,Falmouth,GB,2022-01-24 03:14:59,50.1544,-5.0711,43.38,87,100,9.22
245,High Level,CA,2022-01-24 03:14:59,58.5169,-117.136,6.91,85,100,4.61
246,Praia,CV,2022-01-24 03:15:00,14.9215,-23.5087,72.14,83,75,20.71
247,Port Shepstone,ZA,2022-01-24 03:15:00,-30.7414,30.455,70.83,80,1,18.25
248,Hilo,US,2022-01-24 03:15:01,19.7297,-155.09,75.25,86,1,1.01
249,Saint George,US,2022-01-24 03:13:21,37.1041,-113.5841,47.95,42,0,5.99
250,Condado,CU,2022-01-24 03:15:01,21.8767,-79.8403,68.85,93,23,8.01
251,Nabire,ID,2022-01-24 03:15:02,-3.3667,135.4833,87.55,64,92,4.85
252,Burnie,AU,2022-01-24 03:15:02,-41.0667,145.9167,74.95,54,92,6.51
253,Petropavlovsk-Kamchatskiy,RU,2022-01-24 03:15:03,53.0452,158.6483,12.79,52,0,4.47
254,Panzhihua,CN,2022-01-24 03:15:03,26.5851,101.7128,56.17,51,9,0.27
255,Torbay,CA,2022-01-24 03:15:04,47.6666,-52.7314,26.58,87,75,10.36
256,Buraydah,SA,2022-01-24 03:15:04,26.326,43.975,50.45,57,3,6.6
257,San Policarpo,PH,2022-01-24 03:15:04,12.1791,125.5072,80.6,89,81,11.34
258,Kapit,MY,2022-01-24 03:15:05,2.0167,112.9333,77.25,94,100,0.96
259,Muros,ES,2022-01-24 03:15:05,42.7762,-9.0603,44.24,79,0,4.0
260,Carutapera,BR,2022-01-24 03:15:06,-1.195,-46.02,75.24,94,100,5.03
261,Gushikawa,JP,2022-01-24 03:15:06,26.3544,127.8686,71.19,78,100,13.8
262,Mercedes,AR,2022-01-24 03:15:07,-34.6515,-59.4307,72.52,76,99,3.42
263,Ivdel,RU,2022-01-24 03:15:07,60.6911,60.4206,18.41,97,100,2.06
264,Qobustan,AZ,2022-01-24 03:15:07,40.0824,49.412,41.11,57,0,9.35
265,Broken Hill,AU,2022-01-24 03:15:08,-31.95,141.4333,86.29,32,67,7.47
266,Cidreira,BR,2022-01-24 03:15:08,-30.1811,-50.2056,76.93,90,83,5.95
267,San Cristobal,VE,2022-01-24 03:11:14,7.7669,-72.225,71.78,76,98,0.98
268,Kaitangata,NZ,2022-01-24 03:15:09,-46.2817,169.8464,57.92,66,29,9.6
269,Sarankhola,BD,2022-01-24 03:15:10,22.3082,89.7897,66.67,70,99,4.65
270,Iztapa,GT,2022-01-24 03:15:10,13.9333,-90.7075,77.2,77,0,4.05
271,Miranda De Ebro,ES,2022-01-24 03:15:11,42.6865,-2.947,41.34,87,0,2.95
272,Nara,JP,2022-01-24 03:13:45,34.6851,135.8049,46.49,47,100,11.5
273,Riohacha,CO,2022-01-24 03:15:11,11.5444,-72.9072,73.71,82,63,9.91
274,Qui Nhon,VN,2022-01-24 03:16:12,13.7667,109.2333,78.78,76,43,1.48
275,Tutoia,BR,2022-01-24 03:16:12,-2.7619,-42.2744,80.58,80,100,10.25
276,Bartica,GY,2022-01-24 03:16:13,6.4,-58.6167,73.72,92,56,1.97
277,Upernavik,GL,2022-01-24 03:16:14,72.7868,-56.1549,-6.92,60,58,6.29
278,Pangoa,PE,2022-01-24 03:16:14,-12.1167,-73.0,67.75,99,41,1.16
279,Gaffney,US,2022-01-24 03:13:11,35.0718,-81.6498,43.63,57,26,4.09
280,Flinders,AU,2022-01-24 03:16:15,-34.5833,150.8552,79.18,68,85,3.0
281,Salinopolis,BR,2022-01-24 03:16:15,-0.6136,-47.3561,77.86,88,99,7.99
282,Ancud,CL,2022-01-24 03:16:16,-41.8697,-73.8203,56.43,88,83,6.02
283,Broome,US,2022-01-24 03:16:16,42.2506,-75.833,22.46,78,100,1.01
284,Hambantota,LK,2022-01-24 03:16:17,6.1241,81.1185,75.27,81,100,4.29
285,Hanzhong,CN,2022-01-24 03:16:17,33.0728,107.0303,41.67,77,99,2.55
286,Atocha,BO,2022-01-24 03:16:17,-20.9333,-66.2333,45.37,87,100,3.65
287,Ilo,PE,2022-01-24 03:16:18,-17.6394,-71.3375,71.15,84,45,5.14
288,Nanyuki,KE,2022-01-24 03:16:18,0.0167,37.0728,53.65,72,100,1.54
289,Acarau,BR,2022-01-24 03:16:19,-2.8856,-40.12,77.95,77,95,10.89
290,Lagunas,PE,2022-01-24 03:16:19,-5.2269,-75.6753,77.72,72,35,1.36
291,Bomet,KE,2022-01-24 03:16:20,-0.7813,35.3416,53.49,91,100,2.86
292,Plymouth,US,2022-01-24 03:16:20,41.8334,-70.8328,32.72,73,100,0.0
293,Strezhevoy,RU,2022-01-24 03:16:20,60.7333,77.5889,4.98,99,90,2.95
294,Merauke,ID,2022-01-24 03:16:21,-8.4667,140.3333,86.65,68,52,9.82
295,Camacupa,AO,2022-01-24 03:16:21,-12.0167,17.4833,58.39,96,90,1.86
