City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Kyshtovka,RU,2022-02-06 19:13:21,56.555,76.6271,2.82,90,100,4.74,overcast clouds
87,Luderitz,NA,2022-02-06 19:13:22,-26.6481,15.1594,68.31,75,11,4.7,few clouds
88,Puerto Escondido,MX,2022-02-06 19:13:22,15.85,-97.0667,86.83,70,0,11.5,clear sky
89,Cockburn Town,TC,2022-02-06 19:13:05,21.4612,-71.1419,75.69,67,2,14.7,clear sky
90,Hearst,CA,2022-02-06 19:14:23,49.6835,-83.6665,16.38,91,100,6.78,light snow
91,Thompson,CA,2022-02-06 19:12:39,55.7435,-97.8558,-5.15,81,6,6.85,clear sky
92,Codrington,AU,2022-02-06 19:14:23,-38.2667,141.9667,57.51,77,0,9.08,clear sky
93,Saint George,US,2022-02-06 19:14:24,37.1041,-113.5841,59.47,23,0,1.01,clear sky
94,Benghazi,LY,2022-02-06 19:14:24,32.1167,20.0667,61.38,65,100,3.89,overcast clouds
95,Georgetown,MY,2022-02-06 19:12:33,5.4112,100.3354,78.73,91,40,0.0,scattered clouds
96,Micheweni,TZ,2022-02-06 19:14:25,-4.9667,39.8333,80.4,83,100,4.09,overcast clouds
97,Jalu,LY,2022-02-06 19:13:49,29.0331,21.5482,60.94,28,6,4.76,clear sky
98,Kruisfontein,ZA,2022-02-06 19:14:25,-34.0033,24.7314,75.88,58,100,14.34,overcast clouds
99,Ratnagiri,IN,2022-02-06 19:14:26,16.9833,73.3,71.08,79,74,4.94,broken clouds
100,Darnah,LY,2022-02-06 19:14:26,32.767,22.6367,58.73,67,97,8.59,overcast clouds
101,Tuktoyaktuk,CA,2022-02-06 19:14:27,69.4541,-133.0374,-17.39,100,100,10.63,overcast clouds
102,Havoysund,NO,2022-02-06 19:14:27,70.9963,24.6622,27.48,72,3,26.04,clear sky
103,Arona,ES,2022-02-06 19:14:28,28.0996,-16.681,63.91,58,0,1.99,clear sky
104,Beringovskiy,RU,2022-02-06 19:14:28,63.05,179.3167,-18.35,98,46,7.49,scattered clouds
105,Quatre Cocos,MU,2022-02-06 19:13:22,-20.2078,57.7625,79.09,82,98,11.59,overcast clouds
106,Bowen,AU,2022-02-06 19:14:29,-20.0167,148.2333,73.69,81,76,12.41,broken clouds
107,Najran,SA,2022-02-06 19:14:29,17.4924,44.1277,60.28,42,9,4.32,clear sky
108,Shingu,JP,2022-02-06 19:14:30,33.7333,135.9833,38.91,73,33,6.02,scattered clouds
109,Great Bend,US,2022-02-06 19:14:30,38.3645,-98.7648,50.88,49,0,18.41,clear sky
110,Pevek,RU,2022-02-06 19:14:31,69.7008,170.3133,-24.34,99,33,1.05,scattered clouds
111,Barrow,US,2022-02-06 19:14:31,71.2906,-156.7887,-23.78,69,20,13.8,haze
112,Roma,US,2022-02-06 19:10:44,43.2128,-75.4557,31.68,52,0,10.36,clear sky
113,Bayonet Point,US,2022-02-06 19:12:03,28.3267,-82.6834,64.35,95,100,1.01,overcast clouds
114,Aldan,RU,2022-02-06 19:13:53,58.6031,125.3894,-16.26,92,18,5.1,few clouds
115,Qaanaaq,GL,2022-02-06 19:14:32,77.484,-69.3632,-12.6,58,32,8.34,scattered clouds
116,Maku,IR,2022-02-06 19:14:33,39.2911,44.4521,18.19,75,56,6.91,broken clouds
117,San Patricio,US,2022-02-06 19:14:33,28.017,-97.5169,64.38,60,6,5.26,clear sky
118,Rudnaya Pristan,RU,2022-02-06 19:14:34,44.3614,135.8116,9.82,65,32,11.12,scattered clouds
119,Chekhov,RU,2022-02-06 19:14:34,55.1431,37.4711,22.95,98,54,5.53,broken clouds
120,Butaritari,KI,2022-02-06 19:14:34,3.0707,172.7902,81.39,77,34,15.23,light rain
121,Bredasdorp,ZA,2022-02-06 19:13:53,-34.5322,20.0403,66.27,66,0,3.91,clear sky
122,Padang,ID,2022-02-06 19:14:35,-0.9492,100.3543,77.04,75,100,3.47,overcast clouds
123,Provideniya,RU,2022-02-06 19:10:15,64.3833,-173.3,-5.57,84,2,4.03,clear sky
124,Mahebourg,MU,2022-02-06 19:14:36,-20.4081,57.7,79.25,89,40,9.22,scattered clouds
125,Grenada,ES,2022-02-06 19:14:03,37.1882,-3.6067,53.91,68,20,8.05,few clouds
126,Komsomolskiy,UZ,2022-02-06 19:14:37,40.4272,71.7189,39.92,87,75,4.61,broken clouds
127,Dwarka,IN,2022-02-06 19:13:22,22.2394,68.9678,69.19,61,5,7.34,clear sky
128,Yerofey Pavlovich,RU,2022-02-06 19:14:38,53.9667,121.9667,-7.53,92,99,2.35,overcast clouds
129,Yar-Sale,RU,2022-02-06 19:14:38,66.8333,70.8333,-12.24,100,88,7.63,overcast clouds
130,Eureka,US,2022-02-06 19:09:57,40.8021,-124.1637,62.2,73,9,1.99,clear sky
131,Mount Isa,AU,2022-02-06 19:14:39,-20.7333,139.5,76.77,65,75,5.75,broken clouds
132,Poum,NC,2022-02-06 19:14:40,-20.2333,164.0167,80.08,83,100,9.98,overcast clouds
133,Aksha,RU,2022-02-06 19:14:40,50.2814,113.2867,3.16,95,53,4.94,broken clouds
134,Bad Freienwalde,DE,2022-02-06 19:14:41,52.7873,14.0304,42.33,92,100,8.99,overcast clouds
135,Pacific Grove,US,2022-02-06 19:14:41,36.6177,-121.9166,67.1,50,0,3.0,clear sky
136,Bambous Virieux,MU,2022-02-06 19:14:42,-20.3428,57.7575,79.21,89,40,9.22,scattered clouds
